"yr","blk","a1","a2","a3","a4","a5","a7","a8","a9","a10","a11","a12","bonus","pf","welfare","mwdays","nwdays","wdays","costop","expshare","mult"
"24","A","113676","99999",1,"9999","22209","09","99",2,"9999",1,1,6212918,6790327,658024,366,0,366,2737786479,0,1
"24","A","113677","99999",1,"9999","22207","09","99",2,"9999",1,1,2690248,1575381,711799,305,0,305,183461361,0,1
"24","A","113678","99999",1,"9999","22207","09","99",2,"9999",1,1,0,13780204,0,300,0,300,6391053030,0,1
"24","A","113679","99999",1,"9999","22201","09","99",2,"9999",1,1,1742426,3872000,3922000,303,0,303,2171705000,0,1
"24","A","113680","99999",1,"9999","22201","09","99",2,"9999",1,1,1046577,2842803,2177388,337,0,337,725548259,0,1
"24","A","113681","99999",1,"9999","22203","09","99",1,"9999",1,1,913000,1743424,0,302,0,302,669550165,0,1
"24","A","113682","99999",1,"9999","22201","09","99",2,"9999",1,1,5065500,6706000,8952000,310,0,310,3578718000,0,1
"24","A","113683","99999",1,"9999","22203","09","99",1,"9999",1,1,659775,410367,423298,307,0,307,48412959,0,1
"24","A","113684","99999",1,"9999","22203","09","99",2,"9999",1,1,1258272,3740063,243016,304,0,304,354373700,0,1
"24","A","113685","99999",1,"9999","22209","09","99",2,"9999",1,1,3150000,7143757,1552000,303,0,303,1396895000,0,1
"24","A","113686","99999",1,"9999","22209","09","99",1,"9999",1,1,386400,1467186,0,299,0,299,464400221,0,1
"24","A","113687","99999",1,"9999","22201","09","99",2,"9999",1,1,754850,4013000,1598000,306,0,306,303338000,0,1
"24","A","113688","99999",1,"9999","22203","09","99",1,"9999",1,1,0,94000,471000,305,0,305,1437345095,0,1
"24","A","113689","99999",1,"9999","22203","09","99",2,"9999",1,1,15556099,13042706,2793634,301,0,301,2002876606,0,1
"24","A","113690","99999",1,"9999","22202","09","99",2,"9999",1,1,715400,612600,0,303,0,303,193387934,0,1
"24","A","113691","99999",1,"9999","22201","09","99",2,"9999",1,1,6739309,6019695,3951619,303,0,303,875383797,0,1
"24","A","113692","99999",1,"9999","22203","09","99",2,"9999",1,1,2749861,1921000,448000,301,0,301,1096444000,0,1
"24","A","113693","99999",1,"9999","22204","09","99",2,"9999",1,1,166800,0,1375857,304,0,304,273261695,0,1
"24","A","113694","99999",1,"9999","22209","09","99",2,"9999",1,1,595304,201302,121500,300,0,300,546297623,0,1
"24","A","113695","99999",1,"9999","22207","09","99",1,"9999",1,1,562520,134841,632611,303,0,303,528554157,0,1
"24","A","113696","99999",1,"9999","22209","09","99",2,"9999",1,1,5940000,12118000,19853000,300,0,300,2432030000,0,1
"24","A","113697","99999",1,"9999","22203","09","99",1,"9999",1,1,620415,2820320,1123333,306,0,306,1034657250,0,1
"24","A","113698","99999",1,"9999","22209","09","99",1,"9999",1,1,11045300,10689700,15297800,306,0,306,5962310363,0,1
"24","A","113699","99999",1,"9999","22209","09","99",2,"9999",1,1,37066061,36008911,33066372,304,61,365,2059594728,0,1
"24","A","113700","99999",1,"9999","22203","09","99",1,"9999",1,1,0,3190000,0,303,0,303,6450405389,0,1
"24","A","113701","99999",1,"9999","22203","09","99",1,"9999",1,1,6694000,7308000,4357000,306,0,306,1292271000,0,1
"24","A","113702","99999",1,"9999","22201","09","99",2,"9999",1,1,2586640,18569940,5923510,301,0,301,978215769,0,1
"24","A","113703","99999",1,"9999","22207","09","99",2,"9999",1,1,0,10357023,0,300,0,300,1314096036,0,1
"24","A","113704","99999",1,"9999","22207","09","99",2,"9999",1,1,2643499,11905160,5160281,303,0,303,855542142,0,1
"24","A","113705","99999",1,"9999","22203","09","99",1,"9999",1,1,1423832,1710415,496987,313,0,313,575571833,0,1
"24","A","113706","99999",1,"9999","22201","09","99",2,"9999",1,1,0,1101500,324310,318,0,318,416834420,0,1
"24","A","113707","99999",1,"9999","22203","09","99",1,"9999",1,1,7070151,8680791,2349700,305,0,305,1517451566,0,1
"24","A","113708","99999",1,"9999","20131","09","99",2,"9999",1,1,2230000,3948000,2485000,304,0,304,1152421000,0,1
"24","A","113709","99999",1,"9999","22209","09","99",2,"9999",1,1,13291000,15910000,4862000,302,0,302,4598506000,0,1
"24","A","113710","99999",1,"9999","22209","09","99",1,"9999",1,1,3930217,6227727,3362614,307,0,307,4085996799,0,1
"24","A","113711","99999",1,"9999","22209","09","99",1,"9999",1,1,0,0,856641,302,0,302,293515235,2,1
"24","A","113712","99999",1,"9999","22203","09","99",1,"9999",1,1,998175,2497453,231994,306,0,306,407385768,0,1
"24","A","113715","99999",1,"9999","22207","09","99",2,"9999",1,1,0,23475015,104061030,302,0,302,4726757604,0,1
"24","A","113716","99999",1,"9999","22209","09","99",2,"9999",1,1,837483,615601,5933590,299,0,299,644126735,0,1
"24","A","113717","99999",1,"9999","22203","09","99",1,"9999",1,1,3538810,2810620,309130,303,0,303,362211240,0,1
"24","A","113718","99999",1,"9999","22201","09","99",2,"9999",1,1,2838000,6343000,1107000,304,0,304,299500000,0,1
"24","A","113719","99999",1,"9999","22203","09","99",2,"9999",1,1,0,1655000,2446000,299,0,299,1203974000,0,1
"24","A","113720","99999",1,"9999","22209","09","99",1,"9999",1,1,0,0,0,285,0,285,177294507,0,1
